category,conditionName,targetProperty,hasVisual,mediaName,conditionVariables,uuid,elementalType,initializedSummary,appliedSummary,finishedSummary,canSwitch,canMove,immune
stat,reduceAccuracy,accuracy,0,,"{""c720abce-e7b8-4f3e-8734-238f3d722aca"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",c720abce-e7b8-4f3e-8734-238f3d722aca,none,FLOATTEXT,,'s accuracy reduction wore off,,,
stat,reduceDefense,defense,0,,"{""83c78df4-cbdc-410c-83b4-9cdcb6429481"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",83c78df4-cbdc-410c-83b4-9cdcb6429481,none,FLOATTEXT,,'s defense reduction wore off,,,
stat,reduceSpeed,speed,0,,"{""f58db3c4-57bb-4f84-a523-f3ca23b257df"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",f58db3c4-57bb-4f84-a523-f3ca23b257df,none,FLOATTEXT,,'s speed reduction wore off,,,
stat,reduceCritRate,critRate,0,,"{""8464d595-8d5b-4bf0-9201-3270f7df0a0b"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",8464d595-8d5b-4bf0-9201-3270f7df0a0b,none,FLOATTEXT,,'s crit reduction wore off,,,
stat,healthGain,health,1,Health_Up,"{""0d122d7d-0255-41e2-8e6e-a3a6f30307f3"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",0d122d7d-0255-41e2-8e6e-a3a6f30307f3,none, started healing,, stopped healing,,,
stat,healthLoss,health,0,,"{""162560e7-5da7-4a97-9f1a-4a51138203f3"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",162560e7-5da7-4a97-9f1a-4a51138203f3,none,,,,,,
stat,energyGain,energy,1,,"{""70c27303-3625-483f-a525-d3e5931354c5"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",70c27303-3625-483f-a525-d3e5931354c5,none, started gaining energy,, stopped gaining energy,,,
stat,energyLoss,energy,1,,"{""d34d82aa-48b3-4dbc-827f-e2ce4303b36a"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",d34d82aa-48b3-4dbc-827f-e2ce4303b36a,none,,,,,,
stat,healthBoost,health,0,,"{""be9e809a-65ee-4c43-82b5-3d1567b29f99"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",be9e809a-65ee-4c43-82b5-3d1567b29f99,none,FLOATTEXT,,'s health boost wore off,,,
stat,energyBoost,energy,0,,"{""53acf4b9-bf53-40a7-b4a4-d7634b921076"":{""statDelta"":<int>},""minDuration"":<int>,""maxDuration"":<int>}",53acf4b9-bf53-40a7-b4a4-d7634b921076,none,FLOATTEXT,,'s energy boost wore off,,,
switch,forceSwitch,switch,0,,"{""0C96F6517F1E4E9885BBAD00B76B878E"":{""index"":<int>,""random"":<bool>}}",0C96F6517F1E4E9885BBAD00B76B878E,none, was forced from battle,,,,,
utility,paralyze,canMove,1,,"{""edd7ada8-ffc9-4dc4-9168-0831f74f3c2f"":{""chance"":<double>},""minDuration"":<int>,""maxDuration"":<int>}",edd7ada8-ffc9-4dc4-9168-0831f74f3c2f,none, was paralyzed, can’t move, regained movement,,0,
utility,sleep,canMove,1,,"{""0fe508de-0789-41b7-8e5a-58786a12fff6"":{},""minDuration"":<int>,""maxDuration"":<int>}",0fe508de-0789-41b7-8e5a-58786a12fff6,none, was put to sleep, is asleep, woke up,,0,
utility,preventSwitch,canSwitch,0,,"{""1439b7a3-3b40-46c8-8f45-756a50d7e365"":{},""minDuration"":<int>,""maxDuration"":<int>}",1439b7a3-3b40-46c8-8f45-756a50d7e365,none, can't be switched,, can be switched again,0,,
utility,stunned,canMove,1,,"{""3e610be4-1fbc-4f8d-a49e-6fbbca0c6779"":{""chance"":<double>}}",3e610be4-1fbc-4f8d-a49e-6fbbca0c6779,none, was stunned,,,,0,
utility,immune,immune,0,,"{""b41fec5f-f957-4dc3-80dd-cf550aec6aca"":{""chance"":<double>},""minDuration"":<int>,""maxDuration"":<int>}",b41fec5f-f957-4dc3-80dd-cf550aec6aca,none, can't be hit,, can be hit again,,,1
item,putOnOutfit,outfit,0,,"{""6411cd12-4b39-469f-90b2-509367e95eae"":{""spriteSheetName"":""<sprite_sheet_name>""}}",6411cd12-4b39-469f-90b2-509367e95eae,none,,,,,,
item,putOnHat,hat,0,,"{""96917430-47e9-4c5b-9007-1626bc9620b1"":{""spriteSheetName"":""<sprite_sheet_name>""}}",96917430-47e9-4c5b-9007-1626bc9620b1,none,,,,,,
item,randomCache,items,0,,"{""c0c69400-20c3-4bc4-8459-4a03bc3c9eb7"":{""count"":<int>}}",c0c69400-20c3-4bc4-8459-4a03bc3c9eb7,none,,,,,,
item,bodySelector,body,0,,"{""d9bfa83b-6d87-4678-8ac6-558ababb4696"":{""spriteSheetName"":""<sprite_sheet_name>""}}",d9bfa83b-6d87-4678-8ac6-558ababb4696,none,,,,,,
item,capture,capture,1,,"{""43C5CE327BB746D4A75C66F8B0C2C39D"":{""quality"":<int>}}",43C5CE327BB746D4A75C66F8B0C2C39D,none,,,,,,
item,MoveLearnAir,moves,1,Move_Learn_Air,"{""9b2a0a72-b1c3-4922-bec9-1650826a6718"":{""move"":""<uuid>""}}",9b2a0a72-b1c3-4922-bec9-1650826a6718,none,,,,,,
item,MoveLearnElec,moves,1,Move_Learn_Electricity ,"{""393ac520-6168-43d0-923d-0ddc105fe6a6"":{""move"":""<uuid>""}}",393ac520-6168-43d0-923d-0ddc105fe6a6,none,,,,,,
item,MoveLearnFire,moves,1,Move_Learn_Fire,"{""5bd611aa-0101-4a92-9737-f516d9ccd698"":{""move"":""<uuid>""}}",5bd611aa-0101-4a92-9737-f516d9ccd698,none,,,,,,
item,MoveLearnGrass,moves,1,Move_Learn_Grass,"{""f56c724d-faa7-4802-a8ab-de415d1a1c68"":{""move"":""<uuid>""}}",f56c724d-faa7-4802-a8ab-de415d1a1c68,none,,,,,,
item,MoveLearnIce,moves,1,Move_Learn_Ice,"{""13a10070-032b-4884-9e83-cc1068a754d7"":{""move"":""<uuid>""}}",13a10070-032b-4884-9e83-cc1068a754d7,none,,,,,,
item,MoveLearnRock,moves,1,Move_Learn_Rock,"{""0077760c-2b1d-4b25-9348-03ddbb9cec4f"":{""move"":""<uuid>""}}",0077760c-2b1d-4b25-9348-03ddbb9cec4f,none,,,,,,
item,MoveLearnSpirit,moves,1,Move_Learn_Spirit,"{""2fd5b430-6ee0-4b00-87d1-e62f7826db2a"":{""move"":""<uuid>""}}",2fd5b430-6ee0-4b00-87d1-e62f7826db2a,none,,,,,,
item,MoveLearnStrength,moves,1,Move_Learn_Strength,"{""0e9e1820-9a81-492a-9819-61eaf952d819"":{""move"":""<uuid>""}}",0e9e1820-9a81-492a-9819-61eaf952d819,none,,,,,,
item,MoveLearnWater,moves,1,Move_Learn_Water,"{""1c719dcf-ec4f-46c0-8775-5e3733b769c8"":{""move"":""<uuid>""}}",1c719dcf-ec4f-46c0-8775-5e3733b769c8,none,,,,,,
