uuid,battlePhrases,diurnalityType,outfitName,headName,name,possibleForenames,rarityType,region,tradePhrases,possibleMonsters
439A5AB0C06C47C8B51E9C6C5F1C2E80,"{""Start"": ""Back in home country, we fight bear long before MegaBits."",""Loss"": ""(Quiet sobbing)"",""Win"": ""You must grin and bear it.""}",0,Bear_Wrestler_Outfit,Bear_Wrestler_Hat,Bear Wrestler,"[""Harrison"", ""Burt"", ""Buck"", ""Jeremiah"", ""Zeke""]",3,"{{45.613657, -115.360783}, {11.392735, 19.329478}}",{},"[""D8BD5F286112484CB3A26C3CB0D74B70"",""090C6890F4354AE896852ADCC45D6CCB"",""7CCB1BE7A55842CCBFA5E2571CD0A6DA"",""75438EF8DD4142AA82838FE47AA377F8""]"
62C3FAA903874450A60C6AB057E6A6CA,"{""Start"": ""Can you believe it's only been a year since MegaBits were discovered?"",""Loss"": ""How did you and your MegaBits get so strong so fast?"",""Win"": ""I beat you like no one ever has!""}",0,Red_Vest,Red_Cap,New Trainer,"[""Mike"", ""Sammy"", ""Josh"", ""Jay"", ""Tom""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}","{""Start"":""Can you believe it's only been a year since MegaBits were discovered?"",""Accept"":""That trade is the very best!"",""Reject"":""No dice!""}","[""4055AD7F8A424A84AC8485598B45C5BC"",""CACA44C8467C405F971799CDDA547E3A"",""FAF9CC71BBFB47BE9557B7284FE06FB1"",""B237BD3D31A24E4DBD3B10878EAD1413""]"
4EA0CD113F534003A0CC208B7C626CA3,"{""Start"": ""What's all this buzz about MegaBit battles, anyway?"",""Loss"": ""You smoked me!"",""Win"": ""That's gotta sting.""}",1,Bee_Keeper_Outfit,Bee_Keeper_Veil,Bee-Keeper,"[""Sheldon"", ""Stuart"", ""Annie"", ""Martha"", ""Jackie""]",3,"{{39.830000, -98.580000}, {28.265710, 64.589962}}","{""Start"":""Trading is like the symbiotic relationship between a bee and a flower."",""Accept"":""Oh honey, that's a sweet trade."",""Reject"":""Buzz off!""}","[""F09D3D915D8F4062A3EDE4F304E6C3C8"",""D0DC39275D6F49C8A8288F23BD818441""]"
00DCF02F88FE4418A1265CE7D44C85B1,"{""Start"": ""A MegaBits trainer walks into a bar…"",""Loss"": ""Ouch, denied!"",""Win"": ""Welcome to Club Loser, population: YOU.""}",2,Club_Shirt,Bouncer_Earring,Bouncer,"[""Ron"", ""Diesel"", ""Marco"", ""Vince"", ""Tiny""]",2,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""37769561B0C04662972190491B18BCC9"",""F1FC328FF6014312BFA9B26C3F1BF030""]"
28624706C9ED4A3ABEDA53BCC6DE1644,"{""Start"": ""OH. EM. GEE. Look how CUTE your megabits are!"",""Loss"": ""That was, like, SO. Not. Cute."",""Win"": ""Weee!""}",0,Cute_Dress,Cute_Hair,Cute Fanatic,"[""Alex"", ""Maddie"", ""Tina"", ""Katie"", ""Mindy""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""4055AD7F8A424A84AC8485598B45C5BC"",""CACA44C8467C405F971799CDDA547E3A"",""B5FE991A786947DF93935EDE913689FE"",""EEC8E9A478BE448EABF14E84CEED0E92"",""D8BD5F286112484CB3A26C3CB0D74B70""]"
B66A599389F34CCA99CE576A83761911,"{""Start"": ""I'm raising my MegaBits on a raw diet, just like me!"",""Loss"": ""Maybe they do need more protein."",""Win"": ""You're a medi-okra trainer at best.""}",0,Vegan_Outfit,Vegan_Hair,Vegan,"[""Israel"", ""Nathan"", ""Tyler"", ""Michael"", ""William""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""C40F10E7C41F448FB0B3981A0A37B92E"",""EEC8E9A478BE448EABF14E84CEED0E92"",""BC3D68C3CCAC4F1493FB11B35047DD4F"",""0D39040278D24631AD80FEBFB9DE5C36""]"
4126C5D3BDE248E5931812D7B77557C7,"{""Start"": ""How many MegaBits do YOU have?"",""Loss"": ""I think I just need more MegaBits."",""Win"": ""Just another victory to add to my collection.""}",0,Collector_Clothes,Collector_Hair,Collector,"[""Nate"", ""Dan"", ""Barry"", ""Alan"", ""Ben""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""665FF55E29AB4B24845193A3C969ED1D"",""8E3EB0AA3EB04662A87C3A439F0CBC44"",""4ED54333086543328BDAE45BD7D27EE3"",""37769561B0C04662972190491B18BCC9"",""F1FC328FF6014312BFA9B26C3F1BF030"",""090C6890F4354AE896852ADCC45D6CCB"",""7CCB1BE7A55842CCBFA5E2571CD0A6DA"",""75438EF8DD4142AA82838FE47AA377F8"",""0078A3E6F5274766B35A8A74F57F0367""]"
680098F7D221464EB836D105E1FFBB20,"{""Start"": ""I love starting things."",""Loss"": ""Ouch,  down in flames."",""Win"": ""You got some ice for that burn?""}",2,Pyro_Outfit,Hot_Head,Pyro,"[""Tommy"", ""Pat"", ""Blaise"", ""Simon"", ""Pete""]",3,"{{33.926668, -84.420204}, {8.971332, 7.525652}}",{},"[""C40F10E7C41F448FB0B3981A0A37B92E"",""8145B120CD8F4596A990B3A781033697"",""CACA44C8467C405F971799CDDA547E3A"",""FC92BA6F059A43E7A4AEF446A49953C9"",""8E3EB0AA3EB04662A87C3A439F0CBC44"",""7CCB1BE7A55842CCBFA5E2571CD0A6DA""]"
B904335766174FC6B7999CD723E709FD,"{""Start"": ""If you hold a shell to your ear, you can hear me about to beat you in battle!"",""Loss"": ""That was gnarly."",""Win"": ""You can't catch every wave, dude.""}",1,Wetsuit_F,Surfer_Hair,Surfer,"[""Liz"", ""Reggie"", ""Sara"", ""Shayne"", ""Christa""]",2,"{{42.214967, -121.865845}, {8.360596, 20.749468}}","{""Start"":""Trading would be tubular, bro!"",""Accept"":""Gnarly! I, like, accept your trade."",""Reject"":""That trade would be totally bogus, dude!""}","[""9D3DDD49220A4D01A4A5CB258C7FEDDA"",""EEC8E9A478BE448EABF14E84CEED0E92"",""BC3D68C3CCAC4F1493FB11B35047DD4F""]"
7B09DD66242E4613A826EA09792DC7C9,"{""Start"": ""You want a peace of me?"",""Loss"": ""You're really harshing my mellow."",""Win"": ""Groovy!""}",1,Hippy_Outfit,Hippy_Hat,Hippy,"[""Shaggy"", ""Leo"", ""Cloud"", ""Ringo"", ""Moonbeam""]",1,"{{45.613657, -115.360783}, {11.392735, 19.329478}}","{""Start"":""You wanna trade, man? "",""Accept"":""Sure thing, dude!"",""Reject"":""Love should be free but my possessions aren't. No trade.""}","[""3C9B9F5E481E4403B6EFB5B8F300937E"",""39AE528A874D4FEEBAE3BEAE3C666F77"",""A8759BDCD6584969947724A106E2915A""]"
176B41E23DB44A748C45EED72D6BD742,"{""Start"": ""Pardon me, but I do believe I've dropped my gauntlet."",""Loss"": ""Oh, dear!"",""Win"": ""What a pleasure this has been.""}",0,Fancy_Dress,Lady_Hair,Lady,"[""Elizabeth"", ""Anne"", ""Mary"", ""Victoria"", ""Catherine""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""665FF55E29AB4B24845193A3C969ED1D"",""FC92BA6F059A43E7A4AEF446A49953C9"",""BC3D68C3CCAC4F1493FB11B35047DD4F""]"
95FC125774414C2CA0C1C8ABF3004BD9,"{""Start"": ""..."",""Loss"": ""..."",""Win"": ""...""}",0,Zen_Master_Outfit,Zen_Master_Hair,Zen Master,"[""Satoshi"", ""Hayoa"", ""Shigeru"", ""Hideo"", ""Hideki""]",4,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""CACA44C8467C405F971799CDDA547E3A"",""FC92BA6F059A43E7A4AEF446A49953C9"",""8E3EB0AA3EB04662A87C3A439F0CBC44"",""39AE528A874D4FEEBAE3BEAE3C666F77"",""D221E02E2CB84081AFCDD5DA7F6C4B0C"",""024A88F341494012B9EC283AC9929515""]"
6CEDE242A204458DB55AA28421180E5C,"{""Start"": ""You wanna battle against me, do ya?"",""Loss"": ""Up yours! "",""Win"": ""Take that, the man!""}",0,Punk_Outfit,Punk_Hair,Punk,"[""Spike"", ""Roger"", ""Sammy"", ""Deedee"", ""CJ""]",1,"{{0, 0}, {18446744073709551615, 18446744073709551615}}",{},"[""FAF9CC71BBFB47BE9557B7284FE06FB1"",""9D3DDD49220A4D01A4A5CB258C7FEDDA"",""37769561B0C04662972190491B18BCC9"",""A6FCC0D0A0ED49D6915702D7122DE209"",""D0DC39275D6F49C8A8288F23BD818441"",""5767F9C3B4D34893883F8C12AE1F5714"",""0078A3E6F5274766B35A8A74F57F0367""]"
E2D6F3C5105A4E498FDD23DB79B830F5,"{""Start"": ""You remind me of this one shaman I met in Mali."",""Loss"": ""I didn't come halfway around the world for this!"",""Win"": ""You know, in some cultures, the loser of a battle is considered the winner.""}",0,Traveler_Outfit,Traveler_Hair,Traveler,"[""Jon"", ""Bob"", ""Owen"", ""Scott"", ""Aaron""]",3,"{{0, 0}, {18446744073709551615, 18446744073709551615}}","{""Start"":""In some cultures, barter is still the primary form of economy."",""Accept"":""That will be useful on my next trip!"",""Reject"":""Why in the world would I accept that trade?""}","[""C40F10E7C41F448FB0B3981A0A37B92E"",""8145B120CD8F4596A990B3A781033697"",""3C9B9F5E481E4403B6EFB5B8F300937E"",""39AE528A874D4FEEBAE3BEAE3C666F77"",""4FC0E8B61B8147CCA5D4E070F8E0468F"",""5767F9C3B4D34893883F8C12AE1F5714"",""F1FC328FF6014312BFA9B26C3F1BF030"",""A8759BDCD6584969947724A106E2915A""]"
